VERTEX 0 0 0
VERTEX 1 -18.6233 32.7279
VERTEX 2 -36.994 62.715
VERTEX 3 -54.921 52.76
VERTEX 4 -75.3132 33.5165
VERTEX 5 -63.0984 11.4678
VERTEX 6 -30.4092 -43.9712
VERTEX 7 -23.2118 -59.222
VERTEX 8 -70.715 -85.716
VERTEX 9 -144.758 42.4127
VERTEX 10 -154.654 66.7917
VERTEX 11 -171.298 88.9443
VERTEX 12 -195.948 137.925
VERTEX 13 -136.12 169.094
VERTEX 14 -153.033 203.603
VERTEX 15 -175.975 217.073
VERTEX 16 -191.899 244.124
VERTEX 17 -201.795 239.337
VERTEX 18 -239.941 217.407
VERTEX 19 -217 174.883
VERTEX 20 -296.622 131.246
VERTEX 21 -326.041 115.995
VERTEX 22 -354.021 123.008
VERTEX 23 -350.332 141.598
VERTEX 24 -381.729 213.511
VERTEX 25 -384.428 205.273
VERTEX 26 -403.051 194.698
VERTEX 27 -409.529 191.581
VERTEX 28 -366.346 113.435
VERTEX 29 -358.16 98.5177
VERTEX 30 -61.8082 -100.076
VERTEX 31 -71.2549 -105.865
VERTEX 32 -115.16 -131.246
VERTEX 33 -118.309 -133.138
VERTEX 34 -127.036 -137.702
VERTEX 35 -130.634 -138.927
VERTEX 36 -146.559 -147.387
VERTEX 37 -172.83 -140.597
VERTEX 38 -59.919 -126.348
VERTEX 39 -42.5552 -158.964
VERTEX 40 -51.0121 -121.116
VERTEX 41 -93.0856 -118.524
VERTEX 42 -45.5239 -75.8086
VERTEX 43 -34.188 -98.5177
VERTEX 44 -21.8623 -91.5046
VERTEX 45 -31.3089 -76.8104
VERTEX 46 -23.5717 -72.2463
VERTEX 47 8.27705 -22.0413
VERTEX 48 -0.449839 -7.56973
VERTEX 49 20.5127 -16.03
VERTEX 50 30.1393 -61.671
VERTEX 51 -25.6411 -171.321
VERTEX 52 -224.106 280.748
VERTEX 53 -164.279 273.512
VERTEX 54 -418.615 207.833
VERTEX 55 -384.341 84.2689
VERTEX 56 -42.1947 70.7992
VERTEX 57 -59.2886 61.8936
VERTEX 58 -9.08673 38.2939
VERTEX 59 -161.042 63.6747
VERTEX 60 -377 211.273
EDGE 0 1 2.08814
EDGE 1 2 2.12044
EDGE 2 3 -2.63468
EDGE 3 4 -2.38517
EDGE 4 5 -1.06489
EDGE 5 6 -1.03803
EDGE 6 7 -1.12985
EDGE 7 8 -2.63283
EDGE 8 9 2.09479
EDGE 9 10 1.9564
EDGE 10 11 2.21515
EDGE 11 12 2.03705
EDGE 12 13 0.480288
EDGE 13 14 2.0265
EDGE 14 15 2.61069
EDGE 15 16 2.10284
EDGE 16 17 -2.69104
EDGE 17 18 -2.61984
EDGE 18 19 -1.07606
EDGE 19 20 -2.64025
EDGE 20 21 -2.66333
EDGE 21 22 2.89601
EDGE 22 23 1.3749
EDGE 23 60 1.93634
EDGE 24 60 -0.44202
EDGE 24 25 -1.8874
EDGE 25 26 -2.62515
EDGE 26 27 -2.69312
EDGE 27 28 -1.06596
EDGE 28 29 -1.06891
EDGE 29 21 0.498335
EDGE 29 55 -2.64318
EDGE 27 54 2.08058
EDGE 16 53 0.816401
EDGE 17 52 2.06498
EDGE 19 12 -1.05301
EDGE 11 59 -1.18525
EDGE 59 9 -0.917213
EDGE 8 30 -1.01562
EDGE 30 31 -2.59181
EDGE 30 40 -1.09671
EDGE 31 38 -1.06532
EDGE 38 40 0.531111
EDGE 40 51 -1.10288
EDGE 38 39 -1.08159
EDGE 31 41 -2.61611
EDGE 41 32 -2.61876
EDGE 32 33 -2.60057
EDGE 33 34 -2.65973
EDGE 34 35 -2.81344
EDGE 35 36 -2.65327
EDGE 36 37 2.88867
EDGE 30 42 0.979775
EDGE 42 43 -1.10781
EDGE 43 44 0.5173
EDGE 44 45 2.14215
EDGE 45 46 0.532953
EDGE 44 50 0.520861
EDGE 6 47 0.515699
EDGE 47 48 2.11345
EDGE 47 49 0.456658
EDGE 48 0 1.51144
EDGE 7 46 -1.59842
EDGE 28 22 0.66038
EDGE 1 58 0.528309
EDGE 2 56 2.14246
EDGE 3 57 2.01684
